Name 1,Country,Street,Telephone ,Name 1,Tax Number 1,National ID,Distribution Channel,Division,Sales Office,Sales District,Route Description,Total Active Cust.,latitude,longitude,"Region (State, Province, County)","Please analyze the data and state if there is any data issue or required cleansing ? If yes please state them below in points and what is the next steps which should to be taken accordignly.
Mandatory to state the technique which used for analysing the data ."
ابو علي و حمزه,EG,رمسيس,01235479578,ابو علي و حمزه,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,الطور_SOut,1,27.901967,34.279049,Cairo,
الحاج شعبان,EG,سعد زغلول,01024879578,الحاج شعبان,,47897125797820,Direct Sales,Coca-Cola,Qualuob,Qualuob,الطور_SOut,1,27.862833,34.291412,Cairo,
جراند كافيه,EG,الممشي,012577878794,جراند كافيه,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,,1,0,0,Cairo,
PARIS CAFIE,EG,الشيراتون,0124587\8978,PARIS CAFIE,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,,1,"11,11","11,11",Cairo,
وايفز,EG,ش الممشي,12564789478,وايفز,987456210,187897125797820,Direct Sales,Coca-Cola,Qualuob,Qualuob,,1,,,Cairo,
كوفي شوب,EG,داخل المول,,كوفي شوب,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,,1,,,Cairo,
راندفو,EG,الشيراتون,,راندفو,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.171250000000001,31.292694000000001,Cairo,
الدكتور,EG,الكورنيش,,الدكتور,987456321,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.218444000000002,31.326582999999999,Cairo,
استراحه,EG,الجيل الصاعد,,استراحه,,47897125797820,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.089193999999999,31.057389000000001,Cairo,
DAPORT,EG,ابو تيج مارينا,,DAPORT,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.090388999999998,31.013444,Cairo,
فاتن حسين,EG,امام مستشفي الصدريه,,فاتن حسين,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.159693999999998,31.373750000000001,Cairo,
شعبان قرني,EG,موقف الاتوبيس,,شعبان قرني,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.212167000000001,31.319389000000001,Cairo,
الراعي للمواد الغذائيه,EG,23 يوليو,,الراعي للمواد الغذائيه,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,29.962145400000001,31.2746204,Cairo,
عياد امين,EG,الصالح ايوب,,عياد امين,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,29.960196,31.155225999999999,Cairo,
كرومبو,EG,سليمان متولي,,كرومبو,987456321,,Key Accounts,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.227250999999999,31.719190000000001,Cairo,
كذا ميزه,EG,الجيار,,كذا ميزه,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,29.988572999999999,30.935749000000001,Cairo,
ليالي,EG,عبد السلام معوض,,ليالي,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,29.967237000000001,31.496227000000001,Cairo,
كذا ميزا,EG,ش الامام احمد,,كذا ميزا,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.068417,31.21575,Cairo,
مطعم,EG,عبد السلام عارف,,مطعم,,,Key Accounts,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.072831000000001,31.04693,Cairo,
بابا عبده,EG,عبد السلام عارف,,بابا عبده,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.039667000000001,30.970278,Cairo,
ماركت بتول,EG,المهندس عبد الحميد عبد الحفيظ,,ماركت بتول,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,29.957000000000001,31.494333000000001,Cairo,
مؤمن,EG,طريق المستشفي,,مؤمن,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,29.996888999999999,31.278805999999999,Cairo,
الارسنال,EG,مدرسه الفنيه,,الارسنال,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.055861,31.210750000000001,Cairo,
سوبر ماركت الحوت,EG,جمال عبد الناصر,,سوبر ماركت الحوت,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.009944000000001,31.319555999999999,Cairo,
القاضي,EG,الجلاء,,القاضي,,2547897125797820,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.038305999999999,31.200222,Cairo,
فنزويلا,EG,محمد اليمني,,فنزويلا,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.056806000000002,31.193667000000001,Cairo,
ليالي الحلميه,EG,محمد اليماني,,ليالي الحلميه,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,29.978110999999998,31.313777999999999,Cairo,
فارس,EG,بجوار مسجد الرحمه,,فارس,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.033722000000001,31.239417,Cairo,
المصريين,EG,الكويت,,المصريين,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,29.995360999999999,31.178083000000001,Cairo,
VANILLA,EG,خليج نعمه,,VANILLA,,87897125797820,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,29.9725,30.938389000000001,Cairo,
كنابش مون لايت,EG,الممشي - خليج نعمه,,كنابش مون لايت,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,30.070527999999999,31.5185,Cairo,
فريندز,EG,دلتا شرم,,فريندز,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,E-COMMERCE,1,29.97870866647808,31.283042897379925,Cairo,
BEDOUIN,EG,المشايه,,BEDOUIN,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,CR-SN- سوهاج,1,26.6673440,31.6637020,Cairo,
المصرين,EG,السوق القديم,,المصرين,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,CR-SN- اسيوط,1,27.270530000000001,31.168420000000001,Cairo,
فيش فيش,EG,البنوك,,فيش فيش,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,CR-SN- الفيوم,1,29.30433,30.827349999999999,Cairo,
DOWN TWONBAR,EG,المشايه,,DOWN TWONBAR,,47897125797820,Direct Sales,Coca-Cola,Qualuob,Qualuob,CR-SN- اسيوط,1,25.544302999999999,28.993441000000001,Cairo,
بابمو,EG,الفنار,,بابمو,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,CR-SN- بني سويف,1,29.084710000000001,31.9636,Cairo,
ابو عبدالله,EG,احمد فتحي,01283273563,ابو عبدالله,,,Direct Sales,Coca-Cola,Qualuob,Qualuob,CR-SN- المنيا,1,28.417760000000001,30.783169999999998,Cairo,
الدوكه,EG,مطعم الدوكه,,الدوكه,,187897125797820,Direct Sales,Coca-Cola,Qualuob,Qualuob,CR-SN- دمياط,1,30.876930000000002,31.45656,Cairo,
عبد الباسط سعد الدين,EG,الشواربي الجديد,,عبد الباسط سعد الدين,,,Key Accounts,Coca-Cola,Qualuob,Qualuob,CR-SN- الزقازيق 2,1,30.304959,30.415161000000001,Cairo,
NUBIAN JABANA,EG,امام المدرسه احمد صابر,01282880498,NUBIAN JABANA,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق,1,30.457350999999999,31.622406999999999,Cairo,
التحرير,EG,كورنيش النيل,,التحرير,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق,1,30.545047,31.368666000000001,Cairo,
التوبه النوبه,EG,سعد زغلول,,التوبه النوبه,,47897125797820,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق 2,1,30.598949999999999,31.504286,Cairo,
احمد حازم,EG,كسر الحجر,,احمد حازم,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق,1,30.603793,31.387615,Cairo,
بيتي,EG,الكورنيش - ميدان المحطه,,بيتي,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق,1,30.715392999999999,31.507612999999999,Cairo,
كباب الباشا,EG,الكورنيش - ميدان المحطه,,كباب الباشا,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق 2,1,30.569476999999999,31.691700000000001,Cairo,
بقاله محمد صالحالبركه,EG,من احمد اسماعيل متفرع من ش العروبه,,بقاله محمد صالحالبركه,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق,1,30.551174,31.424368000000001,Cairo,
مقله هارون,EG,هارون الرشيد,,مقله هارون,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق,1,30.657813000000001,31.472186000000001,Cairo,
اورانياORANA,EG,صقر قريش,,اورانياORANA,,,Key Accounts,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق,1,30.828351999999999,31.598780000000001,Cairo,
PERK N PUFF CAFE LOUNGE,EG,الحريه,,PERK N PUFF CAFE LOUNGE,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق,1,30.619494,31.467538999999999,Cairo,
ابو احمد السوري,EG,موقف العاشر الجديد,,ابو احمد السوري,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- الزقازيق,1,30.720427000000001,31.565534,Cairo,
الحمد,EG,ش الصفا من طه حسين,,الحمد,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- المنصورة,1,30.81851,31.462630000000001,Cairo,
كوكو اند جوجو,EG,عثمان بن عفان,,كوكو اند جوجو,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- المنصورة,1,31.170159999999999,31.325220000000002,Cairo,
هشام جلال نادي,EG,عمارات التوفيق,,هشام جلال نادي,,,Direct Sales,Coca-Cola,Aswan,Qualuob,,1,1,1,Cairo,
بابريكاPAPRIKA,EG,ش الرشيدي,,بابريكاPAPRIKA,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- المنصورة,1,31.13043,31.23115,Cairo,
عادلاحمد عبد الرحيم,EG,بني عقيل من طومان باي,,عادلاحمد عبد الرحيم,,,Direct Sales,Coca-Cola,Aswan,Qualuob,SN-بلقاس و نبروة,1,31.13329,31.36621,Cairo,
جيفارا,EG,ش 15,,جيفارا,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- المنصورة,1,31.000209999999999,31.45233,Cairo,
اسماعيل باشا,EG,شارع شهاب الدين خفاجه,,اسماعيل باشا,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- مسطرد,1,30.608519000000001,32.271467000000001,Cairo,
ابن حميدو,EG,مساكن مدارس الجولف من حسن افلاطون,,ابن حميدو,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- منيل شيحة,1,29.982144000000002,31.237904,Cairo,
هند,EG,الثوره,,هند,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- منيل شيحة,1,29.878360000000001,31.245328000000001,Cairo,
سلطنه,EG,سور دار الدفاع,,سلطنه,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- العريش,1,31.133523,33.795937000000002,Cairo,
تشاو,EG,حسن افلاطون من النزهه,,تشاو,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- العريش,1,30.611318333,32.280504999999998,Cairo,
شركه مطاعم ابو مازن السوري الاصلي,EG,النزهه,,شركه مطاعم ابو مازن السور,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- العريش,1,31.135930999999999,33.791246000000001,Cairo,
O GRILLاو جريل,EG,الثوره,,O GRILLاو جريل,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- العريش,1,31.019969,33.022046000000003,Cairo,
البدرEL BADR,EG,الاسكندريه,,البدرEL BADR,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- البحيرة 3,1,31.2165,30.603100000000001,Cairo,
السعاده,EG,المرغني,,السعاده,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- البحيرة 3,1,31.258649999999999,30.1645,Cairo,
السلطان,EG,سور دار الدفاع متفرع من ش النزهه را,,السلطان,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- البحيرة 3,1,30.93573,30.32769,Cairo,
قشطه,EG,النزهه,,قشطه,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- البحيرة 3,1,30.90391,30.17895,Cairo,
ابو رياض,EG,كمال رسلان من هارون الرشيد,,ابو رياض,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- البحيرة 2,1,31.0425,30.473800000000001,Cairo,
الشبراوي,EG,عمر بن الخطاب-عمارات رامو متفرع من,,الشبراوي,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- البحيرة 2,1,31.044260000000001,30.114519999999999,Cairo,
شروق,EG,حسن افلاطون من النزهه,,شروق,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- البحيرة 3,1,31.057030000000001,30.086919999999999,Cairo,
مكرونه,EG,الاهرام,,مكرونه,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- البحيرة 2,1,30.912510000000001,30.177510000000002,Cairo,
GNILLA,EG,الصديق الدويلي,,GNILLA,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- البحيرة 2,1,30.993939999999998,30.33672,Cairo,
ابو مازن,EG,دمشق,,ابو مازن,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- كفر الشيخ 1,1,30.778711000000001,31.273942000000002,Cairo,
تكرم عينك,EG,عبد الرحمن الرفاعي,,تكرم عينك,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- كفر الشيخ 1,1,31.39823200000000,31.17038700000000,Cairo,
فوود جنFOOD GUN,EG,احمد خشبه,,فوود جنFOOD GUN,,2547897125797820,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- كفر الشيخ 2,1,31.16537,30.75920,Cairo,
هند,EG,النزهه,,هند,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- كفر الشيخ 1,1,30.525497000000001,31.287814000000001,Cairo,
TTOMANS,EG,صن سيتي مول - طريق النصر,,TTOMANS,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- كفر الشيخ 2,1,30.775466000000002,31.128423999999999,Cairo,
زوبهZOOBA,EG,ش بغداد,,زوبهZOOBA,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- كفر الشيخ 2,1,30.876134,31.164529999999999,Cairo,
فينر فالدWIENERWALD,EG,شارع الحجاز,,فينر فالدWIENERWALD,,,Direct Sales,Coca-Cola,Aswan,Qualuob,CR-SN- شرق اسكندرية1,1,31.06671,29.955269999999999,Cairo,
شارع الاكل,EG,النزهه,,شارع الاكل,,87897125797820,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,CR-SN- شرق اسكندرية1,1,31.237310000000001,29.973780000000001,Cairo,
جوستوGOSTO,EG,النزهه,,جوستوGOSTO,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,CR-SN- شرق اسكندرية1,1,31.098870000000002,29.754930000000002,Cairo,
كدبهKEBDA,EG,عبد الحميد بدوي,,كدبهKEBDA,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,CR-SN- شرق اسكندرية1,1,31.21998808,29.97095583,Cairo,
الباشاLA PASLA,EG,بيروت,,الباشاLA PASLA,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,CR-SN- غرب اسكندرية2,1,31.250340000000001,29.998380000000001,Cairo,
مكانيMAKANI,EG,حسن صادق,,مكانيMAKANI,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,CR-SN- شرق اسكندرية1,1,31.262350000000001,30.02948,Cairo,
MAMA,EG,سيتي ستارز مول,,MAMA,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,CR-SN- شرق اسكندرية1,1,31.321359999999999,30.066189999999999,Cairo,
OSEA SEA FOOD,EG,بيروت,,OSEA SEA FOOD,,47897125797820,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,CR-SN- غرب اسكندرية1,1,31.180869999999999,29.892589999999998,Cairo,
PONDE ROSA,EG,سيتي ستارز مول,,PONDE ROSA,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,CR-SN- غرب اسكندرية1,1,31.226569999999999,29.971350000000001,Cairo,
YACHAF FISHF CAFE,EG,قريه اويسيس طريق النصر,,YACHAF FISHF CAFE,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,CR-SN- غرب اسكندرية2,1,31.076360000000001,29.760470000000002,Cairo,
زوبهZOOBA,EG,سيتي ستارز مول,,زوبهZOOBA,987123654,187897125797820,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-قليوب1,1,30.17985200000000,31.21467900000000,Cairo,
الست حسنيه,EG,قريه اويسيس طريق النصر,,الست حسنيه,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP2منافذمصرالجديده,1,30.11017927,31.37696574,Cairo,
بدويه,EG,سيتي ستارز مول,,بدويه,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP2منافذمصرالجديده,1,30.11017927,31.37696574,Cairo,
برام,EG,سيتي ستارز مول,,برام,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-منافذمصرالجديده,1,30.11017927,31.37696574,Cairo,
بلانت افديكا,EG,سيتي ستارز مول,,بلانت افديكا,,47897125797820,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-منافذمصرالجديده,1,30.11017927,31.37696574,Cairo,
حضر موت,EG,ابو بكر الصديق,,حضر موت,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-منافذ خاصة وسط,1,30.05958034,31.29449292,Cairo,
علوشALOUSH,EG,عمر بن الخطاب,,علوشALOUSH,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-منافذ خاصة وسط,1,30.05958034,31.29449292,Cairo,
كايرو,EG,ش عبد الحميد بدوي,,كايرو,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-منافذ خاصة وسط,1,29.98245801200010,31.34628605000010,Cairo,
كليفيان كريبCLYFEN CREPE,EG,احمد مخيمر من مجدي,,كليفيان كريبCLYFEN CREPE,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-منافذ خاصة وسط,1,29.98245801200010,31.34628605000010,Cairo,
مشويات الوالياولاد عنتر,EG,كوبري القبه,,مشويات الوالياولاد عنتر,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-م.خاصه العاصمة,1,29.98087748400010,31.41403058900000,Cairo,
هوليد ايز,EG,الحجاز,,هوليد ايز,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-م.خاصه العاصمة,1,29.98087748400010,31.41403058900000,Cairo,
يا مال الشام,EG,الحجاز,,يا مال الشام,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-م. الجبل الاحمر,1,30.048197,31.322321,Cairo,
IL CIELO,EG,من سيتي مول طريق النصر,,IL CIELO,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-م. الجبل الاحمر,1,30.048197,31.322321,Cairo,
ابو مازن,EG,ابو بكر الصديق,,ابو مازن,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-م. الجبل الاحمر,1,30.048197,31.322321,Cairo,
المؤمن,EG,ميدان سراي القبه,,المؤمن,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-م. الجبل الاحمر,1,30.048197,31.322321,Cairo,
حازم حازم,EG,امام مسجد المدينه المنوره,,حازم حازم,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-م.خاصه العاصمة,1,29.99559575300000,31.42808658500010,Cairo,
شارع برتيتا,EG,عمارات السعوديه,,شارع برتيتا,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-م.خاصه العاصمة,1,29.99559575300000,31.42808658500010,Cairo,
PETIT PALMYRA,EG,الاهرام,,PETIT PALMYRA,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP- دجله-معادى,1,29.953756,31.260841,Cairo,
حضرموت قصر المندي,EG,حسني مبارك,,حضرموت قصر المندي,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP- دجله-معادى,1,29.953756,31.260841,Cairo,
حوده احمد شمس,EG,المنتصر,,حوده احمد شمس,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP2منافذمصرالجديده,1,30.07777241,31.29073957,Cairo,
ديفينوDIVINO,EG,بيروت,,ديفينوDIVINO,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP2منافذمصرالجديده,1,30.07777241,31.29073957,Cairo,
راس البر,EG,بن سندر من جسر السويس,,راس البر,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,TELES-Sharm ElSheikh,1,31.077398,34.15041,Cairo,
صلاح محمود واولاده,EG,بن جعرم,,صلاح محمود واولاده,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,TELES-Sharm ElSheikh,1,27.899264,34.327686,Cairo,
طبق بيروت,EG,خالد الحق عند فاروق اتاور,,طبق بيروت,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSC-العقاد,1,24.08241061,32.89148746,Cairo,
فرحات,EG,الحجاز داخل ممر العماره,,فرحات,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSC-العقاد,1,24.08241061,32.89148746,Cairo,
فووود مودFOOD MOOD,EG,شارع 19,,فووود مودFOOD MOOD,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,TELES-Manyal Shiha,1,30.05078525,31.20142207,Cairo,
كارلوس,EG,بيروت,,كارلوس,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,TELES-East Cairo,1,30.0308606,31.4054741,Cairo,
ليال الشام,EG,ش فريد سميكه بجوار جاد,,ليال الشام,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-العين السخنة,1,29.748812,32.213583,Cairo,
ماركت امون,EG,عثمان بن عفان,,ماركت امون,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-العين السخنة,1,29.748812,32.213583,Cairo,
محي سيد,EG,محمد فريد سوق الفتح,,محي سيد,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,TELES-Central Cairo,1,30.07256,31.275346,Cairo,
نيويورك فرايز,EG,سيتي ستارز مول,,نيويورك فرايز,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,TELES-Central Cairo,1,30.072021,31.274844,Cairo,
هند,EG,جسر السويس مع ابو بكر الصديق,,هند,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP- دجله-معادى,1,29.95989097000010,31.27351863000010,Cairo,
وائل,EG,عثمان ابن عفان,,وائل,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP- دجله-معادى,1,29.95989097000010,31.27351863000010,Cairo,
ويندوز,EG,سيتي ستارز مول,,ويندوز,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP- دجله-معادى,1,29.96010931000010,31.27639522000000,Cairo,
جعفر,EG,14 شارع خيمه المغربلين,,جعفر,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP- دجله-معادى,1,29.96010931000010,31.27639522000000,Cairo,
علاء,EG,عبده باشا,,علاء,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,TELES-Maadi,1,29.95253063,31.25612729,Cairo,
ماجده,EG,شريف باشا,,ماجده,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-الاتحاد105-معادى,1,29.9528880,31.2562380,Cairo,
اشرف,EG,ميدان حليم,,اشرف,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-الاتحاد105-معادى,1,29.9528880,31.2562380,Cairo,
الحريه,EG,المصرين,,الحريه,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-النرجس,1,30.01881117100000,31.47978133400010,Cairo,
حسام,EG,شارع عبدالخالق السنباطي,,حسام,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-النرجس,1,30.01881117100000,31.47978133400010,Cairo,
خردوات ترك,EG,غرب القشلاق,,خردوات ترك,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-الحى المتميز,1,30.00851540300000,31.00521977500010,Cairo,
ساكسي,EG,محمد بك الالفي,,ساكسي,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSP-الحى المتميز,1,30.00851540300000,31.00521977500010,Cairo,
محمد علي,EG,التحرير,,محمد علي,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSC-ش بورسعيد,1,30.163708,31.336986,Cairo,
طارق المصري,EG,منتصف ش الاكاديميه,,طارق المصري,,,Direct Sales,Coca-Cola,Manyal Shiha,Qualuob,DSC-ش بورسعيد,1,30.163708,31.336986,Cairo,
